session_id,participant_id,start_time,task_type,intended_duration_minutes,initial_task_site,task_site_count,duration_seconds,click_count,scroll_count,keyboard_activity_count,idle_seconds,active_seconds,away_seconds,tab_switch_count,video_playing_seconds,post_session_answer,drift_label
session_401848a7-90cb-4d9b-bb29-934d9e2d2731,DS-162570-A06530,2026-07-16T13:10:47.237Z,communication_coordination,10,slack.com,13,415,5,5,12,5,354,56,2,0,aligned,0
session_ec93bf8f-826a-484d-a5fc-63062ee7786b,DS-162570-A06530,2026-07-16T14:18:47.582Z,communication_coordination,15,linkedin.com,13,1577,34,32,74,80,1329,168,11,0,moved_away,1
session_2d0b7e9e-b5ac-40bb-a720-46e199d9d40e,DS-162570-A06530,2026-07-16T16:19:37.939Z,communication_coordination,30,claude.ai,13,1551,31,26,84,50,1241,260,9,0,aligned,0
session_5eaeac6f-d6d9-4d69-8c69-3bb29e39440a,DS-162570-A06530,2026-07-16T21:00:39.431Z,communication_coordination,20,web.whatsapp.com,13,968,30,18,35,68,733,167,4,0,moved_away,1
session_2defd3c3-bba7-4703-aa8e-abb4a2274eec,DS-162570-A06530,2026-07-17T13:24:09.402Z,communication_coordination,30,meet.google.com,13,268,3,5,18,8,220,40,2,0,aligned,0
session_ed835e78-7ba0-4191-a56a-b5e61fdb7984,DS-162570-A06530,2026-07-17T15:07:37.171Z,communication_coordination,20,meet.google.com,13,787,11,20,41,124,663,0,4,0,aligned,0
session_85da6548-55e0-4cb6-82d2-08b7ac088ac5,DS-162570-A06530,2026-07-17T16:12:09.421Z,other_planned_task,15,chatgpt.com,13,1083,18,17,33,184,764,135,6,0,moved_away,1
session_4e2816c5-73fa-4450-abb9-3ec2c31c12bf,DS-162570-A06530,2026-07-17T23:15:23.402Z,communication_coordination,15,meet.google.com,13,900,26,14,36,108,659,133,3,0,moved_away,1
session_5a40b5cf-26b3-4deb-a250-6dac6096b2d8,DS-162570-A06530,2026-07-18T17:07:53.265Z,learning_tutorial,20,slack.com,13,930,14,20,11,124,738,68,3,0,aligned,0
session_01b67855-8fb8-46db-9f0d-28ff37caaebf,DS-162570-A06530,2026-07-19T21:01:08.348Z,communication_coordination,10,linkedin.com,13,521,19,11,25,42,365,114,3,0,moved_away,1
session_4aa8668f-f35f-48c7-825d-59140761d471,DS-162570-A06530,2026-07-20T00:06:51.514Z,communication_coordination,15,zoom.us,13,1024,26,17,50,133,795,96,4,0,moved_away,0
session_153ced3d-b658-4d24-92b2-10de554a756e,DS-162570-A06530,2026-07-20T11:01:43.320Z,learning_tutorial,45,udemy.com,13,4093,70,96,35,82,3830,181,12,1950,aligned,0
session_22ead5f2-f072-47b5-8d7d-1d32306b2136,DS-162570-A06530,2026-07-20T15:24:57.596Z,communication_coordination,45,facebook.com,13,3364,107,52,142,57,2753,554,17,0,moved_away,1
session_0a2e7b27-0295-43d6-a7da-4ddf7e523b0f,DS-162570-A06530,2026-07-21T00:00:20.272Z,other_planned_task,15,drive.google.com,13,902,14,13,33,86,769,47,4,0,moved_away,1
session_d1faa668-7741-4b8b-b0ff-af7aaad9e76f,DS-162570-A06530,2026-07-21T13:14:02.764Z,communication_coordination,20,web.whatsapp.com,13,855,30,12,32,117,552,186,6,0,moved_away,1
session_2920da1b-6f2c-4bd8-8b71-908f4871cfab,DS-162570-A06530,2026-07-21T20:01:38.574Z,communication_coordination,20,mail.google.com,13,235,4,5,12,13,214,8,1,0,not_sure,
session_d5a68a40-23c8-4b96-aec7-9c86d52ea3b7,DS-162570-A06530,2026-07-21T21:22:56.184Z,writing_creating,20,linkedin.com,13,1027,19,4,45,201,761,65,4,0,moved_away,1
session_de6f46c6-c410-4aef-b3af-3cf5638d215e,DS-162570-A06530,2026-07-22T14:14:38.318Z,communication_coordination,30,teams.microsoft.com,13,1228,44,20,65,111,997,120,5,0,aligned,0
session_833487fb-9a79-4027-a209-59e9b005a2f9,DS-162570-A06530,2026-07-22T16:06:54.035Z,writing_creating,20,meet.google.com,13,162,6,3,9,18,132,12,1,0,aligned,0
session_8f7cdb2e-7cee-4211-90e7-a5301e3b3a24,DS-162570-A06530,2026-07-22T23:14:53.334Z,other_planned_task,45,drive.google.com,13,4119,66,86,88,798,2848,473,17,0,moved_away,1
session_82e71ad4-aa3c-4fc5-b7ae-f62c01092e13,DS-162570-A06530,2026-07-23T11:24:50.780Z,communication_coordination,20,web.whatsapp.com,13,321,7,8,9,25,226,70,2,0,moved_away,1
session_5ea7fdd0-902b-40e7-86a8-79c9539b0313,DS-162570-A06530,2026-07-23T13:23:03.671Z,communication_coordination,15,mail.google.com,13,1008,35,21,43,82,773,153,7,0,moved_away,1
session_a2044f14-8541-4a1f-9472-64fd252437a2,DS-162570-A06530,2026-07-23T22:03:12.759Z,communication_coordination,10,web.whatsapp.com,13,321,11,8,7,14,300,7,2,0,aligned,0
session_f93cfe6a-9401-4379-b9e0-503cba6c441a,DS-162570-A06530,2026-07-24T15:15:09.681Z,communication_coordination,15,mail.google.com,13,732,20,15,37,6,726,0,2,0,aligned,0
session_591eb3dc-dabc-4936-bf8a-52d373547205,DS-162570-A06530,2026-07-24T16:14:19.545Z,communication_coordination,30,mail.google.com,13,2542,63,51,91,177,1570,795,17,0,moved_away,0
session_7c35c30a-2b2d-4570-82da-35e45cf6da1a,DS-162570-A06530,2026-07-24T17:07:54.133Z,writing_creating,90,zoom.us,13,4110,70,55,260,280,3130,700,29,0,moved_away,1
session_3594c177-4bb5-4212-9757-38db55128baf,DS-162570-A06530,2026-07-25T13:06:14.221Z,communication_coordination,30,meet.google.com,13,1966,62,51,77,141,1708,117,6,0,aligned,0
session_6fad3336-0516-4d89-acab-867b9c0da1e2,DS-162570-A06530,2026-07-25T15:04:37.159Z,communication_coordination,30,mail.google.com,13,900,15,20,38,103,584,213,4,0,moved_away,1
session_6ceaa91d-c356-49bb-94ce-b08f4d0a60d4,DS-162570-A06530,2026-07-25T16:24:32.519Z,communication_coordination,45,web.whatsapp.com,13,2620,68,56,135,307,2313,0,5,0,aligned,0
session_02860061-4180-4cd6-8ccc-2851ee24ee0d,DS-162570-A06530,2026-07-25T20:18:05.799Z,communication_coordination,15,linkedin.com,13,729,7,8,25,87,534,108,5,0,moved_away,1
session_1514f61f-5141-44c0-af76-e2e70936db6e,DS-162570-A06530,2026-07-26T00:20:56.579Z,communication_coordination,15,meet.google.com,13,483,13,8,23,26,397,60,2,0,moved_away,1
session_8d23b550-cb84-40bc-a0db-d8bf0dce4a38,DS-162570-A06530,2026-07-26T12:20:20.007Z,learning_tutorial,90,w3schools.com,13,3037,38,70,27,211,2394,432,21,0,aligned,0
session_4eafe78b-f3a1-4c18-94e2-dfa1e986cfb2,DS-162570-A06530,2026-07-26T17:12:59.871Z,communication_coordination,45,facebook.com,13,5356,137,101,203,600,3969,787,43,0,moved_away,1
session_ae4fb3c6-c5e2-4255-a380-e747c95950ae,DS-162570-A06530,2026-07-27T13:23:26.094Z,communication_coordination,45,facebook.com,13,1959,49,16,75,217,1203,539,11,0,moved_away,1
session_05ad5748-e0d0-443a-9c6d-1c57d8b59401,DS-162570-A06530,2026-07-27T14:01:05.491Z,other_planned_task,10,chatgpt.com,13,892,20,15,29,46,640,206,5,0,moved_away,1
session_1e48474a-7ad3-4269-9fc7-857e269c9d07,DS-162570-A06530,2026-07-27T19:21:05.300Z,communication_coordination,10,mail.google.com,13,633,21,8,25,16,511,106,4,0,aligned,0
session_85db2269-e137-42d5-a2a3-3c624b0206c0,DS-2A52AD-A7D3A2,2026-07-19T10:11:14.907Z,reading_research,20,sciencedirect.com,10,721,29,52,18,60,661,0,2,0,aligned,0
session_12d249ff-ccdf-4d74-b643-10acf1889708,DS-2A52AD-A7D3A2,2026-07-19T11:20:58.716Z,communication_coordination,10,web.whatsapp.com,10,712,41,24,41,44,618,50,4,0,aligned,0
session_2997a0ad-19e9-4ac1-87b9-e9d5d80efdfa,DS-2A52AD-A7D3A2,2026-07-19T12:04:31.717Z,reading_research,60,mail.google.com,10,4261,125,251,81,413,3249,599,21,0,moved_away,1
session_cc07c74e-7dd4-4589-a974-2e9deb35bb03,DS-2A52AD-A7D3A2,2026-07-20T12:08:59.019Z,communication_coordination,30,web.whatsapp.com,10,1709,59,42,110,200,1296,213,6,0,moved_away,1
session_359590db-9f39-4002-817e-9ef2a4d72f5d,DS-2A52AD-A7D3A2,2026-07-20T18:11:04.168Z,communication_coordination,20,web.whatsapp.com,10,503,26,23,34,8,438,57,5,0,aligned,0
session_c5921f0e-be8b-473f-aed9-bdece6fa0b8f,DS-2A52AD-A7D3A2,2026-07-21T14:04:28.085Z,communication_coordination,15,youtube.com,10,520,21,19,46,53,382,85,3,219,moved_away,1
session_ccb8a1d2-df1b-49b8-90a7-3b438595def0,DS-2A52AD-A7D3A2,2026-07-21T15:19:43.255Z,communication_coordination,30,claude.ai,10,2023,71,67,127,229,1523,271,12,0,moved_away,1
